,avgtimeall,avgtimealllure,avgtimeallreal,avgtimeneglure,avgtimenegreal,avgtimeneulure,avgtimeneureal,avgtimeposlure,avgtimeposreal,condition,subjid,totalneglure,totalnegreal,totalneulure,totalneureal,totalposlure,totalposreal
263,2.9254285714285717,2.8595,3.0133333333333336,4.505,2.3515,2.598,na,1.737,4.337,L41,TEST9999,2,2,1,0,1,1
264,8.834,8.834,na,8.834,na,na,na,na,na,L11,test6,0,0,0,0,1,0
265,4.171,4.171,na,4.171,na,na,na,na,na,M32,stefano1,0,0,0,0,1,0
266,23.969125,21.6282,27.87066666666667,21.124,31.512,25.963,na,9.128,26.05,L22,cs29,3,1,1,0,1,2
267,12.816153846153846,10.603714285714286,15.397333333333334,13.602,30.096,4.93,8.157666666666668,9.901555555555555,18.9075,L41,cs72,1,2,9,6,4,4
268,38.011,na,38.011,na,38.011,na,na,na,na,L41,cs112,0,3,0,0,0,0
269,17.687454545454543,8.91375,22.701,3.087,25.455,10.856,19.827,na,20.905,L41,cs113,3,3,0,1,1,3
270,8.010111111111112,4.211,9.909666666666666,na,14.188,4.211,na,na,5.631333333333333,M41,cs128,3,3,0,0,0,3
271,4.594600000000001,4.0988999999999995,5.586,3.33175,8.000333333333334,4.723199999999999,na,4.046,1.9645,M32,cs60,5,3,1,0,4,2
272,40.02025,36.4655,43.575,na,43.575,36.4655,na,na,na,M42,cs11,2,2,0,0,0,0
273,25.737428571428573,6.384,36.489333333333335,9.411,65.02133333333333,2.3415,na,8.415,22.223333333333333,M31,cs139,2,3,1,0,2,6
274,4.531,4.796777777777778,3.7336666666666667,4.796777777777778,3.7336666666666667,na,na,na,na,M12,TEST999,0,3,0,0,9,0
275,5.711,5.861,5.561,5.861,5.561,na,na,na,na,M41,cs117,0,1,0,0,1,0
276,3.3056666666666663,1.167,4.375,1.167,0.578,na,na,na,8.172,L21,teststefano,0,1,0,0,1,1
